"File","Date","Hour"
"meps_mbr0_ppalgs_plevels_2_5km_20161116T18Z.nc","20161116","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161116T12Z.nc","20161116","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161116T06Z.nc","20161116","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161116T00Z.nc","20161116","00"
"meps_mbr0_pp_2_5km_20161116T18Z.nc","20161116","18"
"meps_mbr0_pp_2_5km_20161116T12Z.nc","20161116","12"
"meps_mbr0_pp_2_5km_20161116T06Z.nc","20161116","06"
"meps_mbr0_pp_2_5km_20161116T00Z.nc","20161116","00"
"meps_mbr0_full_backup_2_5km_20161116T00Z.nc","20161116","00"
"meps_mbr0_extracted_backup_2_5km_20161116T00Z.nc","20161116","00"
"wbkz_2_5km_mbr1_20161117T06Z.nc","20161117","06"
"wbkz_2_5km_20161117T06Z.nc","20161117","06"
"t2myr_kf_0_5km_mbr1_20161117T18Z.nc","20161117","18"
"t2myr_kf_0_5km_mbr1_20161117T12Z.nc","20161117","12"
"t2myr_kf_0_5km_mbr1_20161117T06Z.nc","20161117","06"
"t2myr_kf_0_5km_mbr1_20161117T00Z.nc","20161117","00"
"t2myr_kf_0_5km_mbr0_20161117T18Z.nc","20161117","18"
"t2myr_kf_0_5km_mbr0_20161117T12Z.nc","20161117","12"
"t2myr_kf_0_5km_mbr0_20161117T06Z.nc","20161117","06"
"t2myr_kf_0_5km_mbr0_20161117T00Z.nc","20161117","00"
"meps_subset_2_5km_20161117T18Z.nc","20161117","18"
"meps_subset_2_5km_20161117T12Z.nc","20161117","12"
"meps_subset_2_5km_20161117T06Z.nc","20161117","06"
"meps_subset_2_5km_20161117T00Z.nc","20161117","00"
"meps_mbr1_pp_2_5km_20161117T18Z.nc","20161117","18"
"meps_mbr1_pp_2_5km_20161117T12Z.nc","20161117","12"
"meps_mbr1_pp_2_5km_20161117T06Z.nc","20161117","06"
"meps_mbr1_pp_2_5km_20161117T00Z.nc","20161117","00"
"meps_mbr0_vc_2_5km_20161117T18Z.nc","20161117","18"
"meps_mbr0_vc_2_5km_20161117T12Z.nc","20161117","12"
"meps_mbr0_vc_2_5km_20161117T06Z.nc","20161117","06"
"meps_mbr0_vc_2_5km_20161117T00Z.nc","20161117","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161117T18Z.nc","20161117","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161117T12Z.nc","20161117","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161117T06Z.nc","20161117","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161117T00Z.nc","20161117","00"
"meps_mbr0_pp_2_5km_20161117T18Z.nc","20161117","18"
"meps_mbr0_pp_2_5km_20161117T12Z.nc","20161117","12"
"meps_mbr0_pp_2_5km_20161117T06Z.nc","20161117","06"
"meps_mbr0_pp_2_5km_20161117T00Z.nc","20161117","00"
"meps_mbr0_full_backup_2_5km_20161117T00Z.nc","20161117","00"
"meps_mbr0_extracted_backup_2_5km_20161117T00Z.nc","20161117","00"
"wbkz_2_5km_mbr1_20161118T06Z.nc","20161118","06"
"wbkz_2_5km_20161118T06Z.nc","20161118","06"
"t2myr_kf_0_5km_mbr1_20161118T18Z.nc","20161118","18"
"t2myr_kf_0_5km_mbr1_20161118T12Z.nc","20161118","12"
"t2myr_kf_0_5km_mbr1_20161118T06Z.nc","20161118","06"
"t2myr_kf_0_5km_mbr1_20161118T00Z.nc","20161118","00"
"t2myr_kf_0_5km_mbr0_20161118T18Z.nc","20161118","18"
"t2myr_kf_0_5km_mbr0_20161118T12Z.nc","20161118","12"
"t2myr_kf_0_5km_mbr0_20161118T06Z.nc","20161118","06"
"t2myr_kf_0_5km_mbr0_20161118T00Z.nc","20161118","00"
"meps_subset_2_5km_20161118T18Z.nc","20161118","18"
"meps_subset_2_5km_20161118T12Z.nc","20161118","12"
"meps_subset_2_5km_20161118T06Z.nc","20161118","06"
"meps_subset_2_5km_20161118T00Z.nc","20161118","00"
"meps_mbr1_pp_2_5km_20161118T18Z.nc","20161118","18"
"meps_mbr1_pp_2_5km_20161118T12Z.nc","20161118","12"
"meps_mbr1_pp_2_5km_20161118T06Z.nc","20161118","06"
"meps_mbr1_pp_2_5km_20161118T00Z.nc","20161118","00"
"meps_mbr0_vc_2_5km_20161118T18Z.nc","20161118","18"
"meps_mbr0_vc_2_5km_20161118T12Z.nc","20161118","12"
"meps_mbr0_vc_2_5km_20161118T06Z.nc","20161118","06"
"meps_mbr0_vc_2_5km_20161118T00Z.nc","20161118","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161118T18Z.nc","20161118","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161118T12Z.nc","20161118","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161118T06Z.nc","20161118","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161118T00Z.nc","20161118","00"
"meps_mbr0_pp_2_5km_20161118T18Z.nc","20161118","18"
"meps_mbr0_pp_2_5km_20161118T12Z.nc","20161118","12"
"meps_mbr0_pp_2_5km_20161118T06Z.nc","20161118","06"
"meps_mbr0_pp_2_5km_20161118T00Z.nc","20161118","00"
"meps_mbr0_full_backup_2_5km_20161118T00Z.nc","20161118","00"
"meps_mbr0_extracted_backup_2_5km_20161118T00Z.nc","20161118","00"
"wbkz_2_5km_mbr1_20161119T06Z.nc","20161119","06"
"wbkz_2_5km_20161119T06Z.nc","20161119","06"
"t2myr_kf_0_5km_mbr1_20161119T18Z.nc","20161119","18"
"t2myr_kf_0_5km_mbr1_20161119T12Z.nc","20161119","12"
"t2myr_kf_0_5km_mbr1_20161119T06Z.nc","20161119","06"
"t2myr_kf_0_5km_mbr1_20161119T00Z.nc","20161119","00"
"t2myr_kf_0_5km_mbr0_20161119T18Z.nc","20161119","18"
"t2myr_kf_0_5km_mbr0_20161119T12Z.nc","20161119","12"
"t2myr_kf_0_5km_mbr0_20161119T06Z.nc","20161119","06"
"t2myr_kf_0_5km_mbr0_20161119T00Z.nc","20161119","00"
"meps_subset_2_5km_20161119T18Z.nc","20161119","18"
"meps_subset_2_5km_20161119T12Z.nc","20161119","12"
"meps_subset_2_5km_20161119T06Z.nc","20161119","06"
"meps_subset_2_5km_20161119T00Z.nc","20161119","00"
"meps_mbr1_pp_2_5km_20161119T18Z.nc","20161119","18"
"meps_mbr1_pp_2_5km_20161119T12Z.nc","20161119","12"
"meps_mbr1_pp_2_5km_20161119T06Z.nc","20161119","06"
"meps_mbr1_pp_2_5km_20161119T00Z.nc","20161119","00"
"meps_mbr0_vc_2_5km_20161119T18Z.nc","20161119","18"
"meps_mbr0_vc_2_5km_20161119T12Z.nc","20161119","12"
"meps_mbr0_vc_2_5km_20161119T06Z.nc","20161119","06"
"meps_mbr0_vc_2_5km_20161119T00Z.nc","20161119","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161119T18Z.nc","20161119","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161119T12Z.nc","20161119","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161119T06Z.nc","20161119","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161119T00Z.nc","20161119","00"
"meps_mbr0_pp_2_5km_20161119T18Z.nc","20161119","18"
"meps_mbr0_pp_2_5km_20161119T12Z.nc","20161119","12"
"meps_mbr0_pp_2_5km_20161119T06Z.nc","20161119","06"
"meps_mbr0_pp_2_5km_20161119T00Z.nc","20161119","00"
"meps_mbr0_full_backup_2_5km_20161119T00Z.nc","20161119","00"
"meps_mbr0_extracted_backup_2_5km_20161119T00Z.nc","20161119","00"
"wbkz_2_5km_mbr1_20161120T06Z.nc","20161120","06"
"wbkz_2_5km_20161120T06Z.nc","20161120","06"
"t2myr_kf_0_5km_mbr1_20161120T18Z.nc","20161120","18"
"t2myr_kf_0_5km_mbr1_20161120T12Z.nc","20161120","12"
"t2myr_kf_0_5km_mbr1_20161120T06Z.nc","20161120","06"
"t2myr_kf_0_5km_mbr1_20161120T00Z.nc","20161120","00"
"t2myr_kf_0_5km_mbr0_20161120T18Z.nc","20161120","18"
"t2myr_kf_0_5km_mbr0_20161120T12Z.nc","20161120","12"
"t2myr_kf_0_5km_mbr0_20161120T06Z.nc","20161120","06"
"t2myr_kf_0_5km_mbr0_20161120T00Z.nc","20161120","00"
"meps_subset_2_5km_20161120T18Z.nc","20161120","18"
"meps_subset_2_5km_20161120T12Z.nc","20161120","12"
"meps_subset_2_5km_20161120T06Z.nc","20161120","06"
"meps_subset_2_5km_20161120T00Z.nc","20161120","00"
"meps_mbr1_pp_2_5km_20161120T18Z.nc","20161120","18"
